,DOE,Fit_Try3
0,doe65,-2.5
1,doe67,-2.5
2,doe69,-1.7
3,doe71,-1.7
4,doe73,-2.4
5,doe75,-2.4
6,doe77,-1.9
7,doe79,-1.9
8,doe81,-1.4
9,doe83,-1.5
10,doe85,-0.9
11,doe87,-0.9
12,doe89,-1.5
13,doe91,-1.5
14,doe93,-1.2
15,doe95,-1.2
16,doe97,-3.2
17,doe99,-3.2
18,doe101,-2.1
19,doe103,-2.1
20,doe105,-2.9
21,doe107,-2.9
22,doe109,-2.2
23,doe111,-2.2
24,doe113,-1.5
25,doe115,-1.5
26,doe117,-1.0
27,doe119,-1.0
28,doe121,-1.6
29,doe123,-1.6
30,doe125,-1.3
31,doe127,-1.3
32,doe193,-1.9
33,doe195,-1.9
34,doe197,-1.5
35,doe199,-1.6
36,doe201,-3.9
37,doe203,-4.0
38,doe205,-3.3
39,doe207,-3.2
40,doe209,-0.8
41,doe211,-0.8
42,doe213,-0.6
43,doe215,-0.7
44,doe217,-2.4
45,doe219,-2.5
46,doe221,-1.8
47,doe223,-1.9
48,doe225,-2.1
49,doe227,-2.1
50,doe229,-1.8
51,doe231,-1.7
52,doe233,-4.1
53,doe235,-4.1
54,doe237,-3.6
55,doe239,-3.6
56,doe241,-0.8
57,doe243,-0.8
58,doe245,-0.7
59,doe247,-0.7
60,doe249,-2.5
61,doe251,-2.5
62,doe253,-1.9
63,doe255,-1.9
64,doe321,-1.8
65,doe323,-1.9
66,doe325,-1.1
67,doe327,-1.2
68,doe329,-1.8
69,doe331,-1.9
70,doe333,-1.4
71,doe335,-1.4
72,doe337,-3.6
73,doe339,-3.8
74,doe341,-2.6
75,doe343,-2.7
76,doe345,-3.1
77,doe347,-3.3
78,doe349,-2.4
79,doe351,-2.5
80,doe353,-2.1
81,doe355,-2.1
82,doe357,-1.3
83,doe359,-1.4
84,doe361,-2.0
85,doe363,-2.1
86,doe365,-1.5
87,doe367,-1.6
88,doe369,-3.4
89,doe371,-3.4
90,doe373,-2.7
91,doe375,-2.8
92,doe377,-2.9
93,doe379,-2.9
94,doe381,-2.4
95,doe383,-2.4
96,doe449,-1.5
97,doe451,-1.5
98,doe453,-0.5
99,doe455,-0.8
100,doe457,-2.6
101,doe459,-2.7
102,doe461,-1.8
103,doe463,-2.0
104,doe465,-3.7
105,doe467,-3.8
106,doe469,-2.0
107,doe471,-2.0
108,doe473,-4.4
109,doe475,-4.6
110,doe477,-3.4
111,doe479,-3.3
112,doe481,-1.6
113,doe483,-1.5
114,doe485,-0.8
115,doe487,-0.8
116,doe489,-2.8
117,doe491,-2.8
118,doe493,-2.1
119,doe495,-2.0
120,doe497,-3.4
121,doe499,-3.4
122,doe501,-2.0
123,doe503,-2.0
124,doe505,-4.2
125,doe507,-4.1
126,doe509,-3.2
127,doe511,-3.2
128,doe609,-5.2
129,doe611,-4.3
130,doe613,-1.9
131,doe615,-2.0
132,doe617,-4.8
133,doe619,-3.5
134,doe621,-1.2
135,doe623,-1.4
136,doe625,-4.5
137,doe627,-3.3
138,doe629,-1.6
139,doe631,-1.8
140,doe633,-4.0
141,doe635,-2.7
142,doe637,-1.0
143,doe639,-1.1
144,doe737,-4.4
145,doe739,-3.9
146,doe741,-1.7
147,doe743,-1.6
148,doe745,-3.9
149,doe747,-3.5
150,doe749,-3.4
151,doe751,-2.8
152,doe753,-3.9
153,doe755,-3.2
154,doe757,-1.1
155,doe759,-1.0
156,doe761,-2.3
157,doe763,-2.1
158,doe765,-2.2
159,doe767,-1.9
160,doe865,-5.1
161,doe867,-3.9
162,doe869,-1.1
163,doe871,-1.6
164,doe873,-4.8
165,doe875,-3.3
166,doe877,-0.6
167,doe879,-0.9
168,doe881,-1.8
169,doe883,-1.6
170,doe885,-1.7
171,doe887,-1.3
172,doe889,-1.7
173,doe891,-1.3
174,doe893,-1.7
175,doe895,-0.9
176,doe993,-4.3
177,doe995,-4.1
178,doe997,-0.8
179,doe999,-0.1
180,doe1001,-2.3
181,doe1003,-1.6
182,doe1005,-1.9
183,doe1007,-1.1
184,doe1009,-2.4
185,doe1011,-2.0
186,doe1013,-2.2
187,doe1015,-1.5
188,doe1017,-3.8
189,doe1019,-3.3
190,doe1021,-3.3
191,doe1023,-2.5
192,doe1025,0.2
193,doe1027,0.2
194,doe1029,0.3
195,doe1031,0.2
196,doe1033,0.4
197,doe1035,0.4
198,doe1037,0.4
199,doe1039,0.3
200,doe1041,-0.5
201,doe1043,0.0
202,doe1045,-0.3
203,doe1047,-0.5
204,doe1049,-0.6
205,doe1051,-0.0
206,doe1053,-0.4
207,doe1055,-0.2
208,doe1057,0.1
209,doe1059,0.1
210,doe1061,-0.4
211,doe1063,-0.3
212,doe1065,0.2
213,doe1067,0.2
214,doe1069,0.2
215,doe1071,0.2
216,doe1073,-0.7
217,doe1075,-0.7
218,doe1077,-0.5
219,doe1079,-0.5
220,doe1081,-0.7
221,doe1083,-0.7
222,doe1085,-0.6
223,doe1087,-0.6
224,doe1089,-0.2
225,doe1091,-0.1
226,doe1093,-0.2
227,doe1095,-0.2
228,doe1097,0.4
229,doe1099,0.4
230,doe1101,0.4
231,doe1103,0.4
232,doe1105,-0.9
233,doe1107,-1.1
234,doe1109,-1.1
235,doe1111,-1.4
236,doe1113,-0.6
237,doe1115,-0.4
238,doe1117,-0.7
239,doe1119,-0.6
240,doe1121,-0.2
241,doe1123,-0.2
242,doe1125,-0.2
243,doe1127,-0.3
244,doe1129,0.4
245,doe1131,0.4
246,doe1133,0.4
247,doe1135,0.4
248,doe1137,-0.8
249,doe1139,-0.8
250,doe1141,-0.9
251,doe1143,-0.9
252,doe1145,-0.7
253,doe1147,-0.7
254,doe1149,-0.6
255,doe1151,-0.6
256,doe1153,-1.8
257,doe1155,-1.6
258,doe1157,-2.7
259,doe1159,-2.4
260,doe1161,-4.4
261,doe1163,-3.7
262,doe1165,-4.8
263,doe1167,-4.3
264,doe1169,-0.6
265,doe1171,-0.7
266,doe1173,-1.0
267,doe1175,-1.0
268,doe1177,-2.6
269,doe1179,-2.5
270,doe1181,-3.3
271,doe1183,-3.2
272,doe1185,-2.0
273,doe1187,-2.0
274,doe1189,-2.9
275,doe1191,-2.9
276,doe1193,-4.6
277,doe1195,-4.7
278,doe1197,-5.1
279,doe1199,-5.2
280,doe1201,-0.7
281,doe1203,-0.7
282,doe1205,-1.0
283,doe1207,-1.0
284,doe1209,-2.4
285,doe1211,-2.4
286,doe1213,-3.0
287,doe1215,-3.0
288,doe1217,-4.1
289,doe1219,-3.7
290,doe1221,-3.9
291,doe1223,-3.7
292,doe1225,-6.0
293,doe1227,-5.8
294,doe1229,-6.0
295,doe1231,-5.7
296,doe1233,-1.4
297,doe1235,-1.5
298,doe1237,-1.5
299,doe1239,-1.6
300,doe1241,-3.4
301,doe1243,-3.3
