C:\Users\Orlando\Documents\Postdoctoral_Work\Data\GGB_XPS_Nov2018\20181119_CuOxide_corevamas.vms
Cu Auger/4
	Characteristic Energy eV	1486.71	Acquisition Time s	3	Step Size eV	0.05	No Steps	600
KE_Cu Auger/4	BE_Cu Auger/4	Background_Cu Auger/4
901.71	585	2129.33
901.76	584.95	2129
901.81	584.9	2128.67
901.86	584.85	2124.67
901.91	584.8	2120.67
901.96	584.75	2129.83
902.01	584.7	2139
902.06	584.65	2138.33
902.11	584.6	2137.67
902.16	584.55	2139.83
902.21	584.5	2142
902.26	584.45	2153.33
902.31	584.4	2164.67
902.36	584.35	2148.67
902.41	584.3	2132.67
902.46	584.25	2127.67
902.51	584.2	2122.67
902.56	584.15	2130.33
902.61	584.1	2138
902.66	584.05	2153.17
902.71	584	2168.33
902.76	583.95	2131.67
902.81	583.9	2095
902.86	583.85	2101.83
902.91	583.8	2108.67
902.96	583.75	2120.33
903.01	583.7	2132
903.06	583.65	2136.5
903.11	583.6	2141
903.16	583.55	2127.5
903.21	583.5	2114
903.26	583.45	2135.17
903.31	583.4	2156.33
903.36	583.35	2156
903.41	583.3	2155.67
903.46	583.25	2141.83
903.51	583.2	2128
903.56	583.15	2143.5
903.61	583.1	2159
903.66	583.05	2148.33
903.71	583	2137.67
903.76	582.95	2131.67
903.81	582.9	2125.67
903.86	582.85	2124.17
903.91	582.8	2122.67
903.96	582.75	2146.33
904.01	582.7	2170
904.06	582.65	2180.5
904.11	582.6	2191
904.16	582.55	2171.67
904.21	582.5	2152.33
904.26	582.45	2142.33
904.31	582.4	2132.33
904.36	582.35	2139.67
904.41	582.3	2147
904.46	582.25	2136.5
904.51	582.2	2126
904.56	582.15	2138.17
904.61	582.1	2150.33
904.66	582.05	2144.33
904.71	582	2138.33
904.76	581.95	2152.5
904.81	581.9	2166.67
904.86	581.85	2176.33
904.91	581.8	2186
904.96	581.75	2176.83
905.01	581.7	2167.67
905.06	581.65	2159
905.11	581.6	2150.33
905.16	581.55	2149.17
905.21	581.5	2148
905.26	581.45	2160.5
905.31	581.4	2173
905.36	581.35	2164.17
905.41	581.3	2155.33
905.46	581.25	2181
905.51	581.2	2206.67
905.56	581.15	2202.33
905.61	581.1	2198
905.66	581.05	2205.33
905.71	581	2212.67
905.76	580.95	2201.17
905.81	580.9	2189.67
905.86	580.85	2200.33
905.91	580.8	2211
905.96	580.75	2214.67
906.01	580.7	2218.33
906.06	580.65	2201.33
906.11	580.6	2184.33
906.16	580.55	2197.17
906.21	580.5	2210
906.26	580.45	2223.83
906.31	580.4	2237.67
906.36	580.35	2221.17
906.41	580.3	2204.67
906.46	580.25	2223.67
906.51	580.2	2242.67
906.56	580.15	2248.67
906.61	580.1	2254.67
906.66	580.05	2270.5
906.71	580	2286.33
906.76	579.95	2232.5
906.81	579.9	2178.67
906.86	579.85	2217.5
906.91	579.8	2256.33
906.96	579.75	2249.5
907.01	579.7	2242.67
907.06	579.65	2237.67
907.11	579.6	2232.67
907.16	579.55	2243.83
907.21	579.5	2255
907.26	579.45	2233.17
907.31	579.4	2211.33
907.36	579.35	2240.17
907.41	579.3	2269
907.46	579.25	2253.5
907.51	579.2	2238
907.56	579.15	2241.67
907.61	579.1	2245.33
907.66	579.05	2259.17
907.71	579	2273
907.76	578.95	2254
907.81	578.9	2235
907.86	578.85	2267.67
907.91	578.8	2300.33
907.96	578.75	2309.33
908.01	578.7	2318.33
908.06	578.65	2302.83
908.11	578.6	2287.33
908.16	578.55	2276.67
908.21	578.5	2266
908.26	578.45	2280
908.31	578.4	2294
908.36	578.35	2274.17
908.41	578.3	2254.33
908.46	578.25	2294
908.51	578.2	2333.67
908.56	578.15	2321.33
908.61	578.1	2309
908.66	578.05	2296.33
908.71	578	2283.67
908.76	577.95	2290.17
908.81	577.9	2296.67
908.86	577.85	2314.67
908.91	577.8	2332.67
908.96	577.75	2309.83
909.01	577.7	2287
909.06	577.65	2287.67
909.11	577.6	2288.33
909.16	577.55	2306.67
909.21	577.5	2325
909.26	577.45	2316.17
909.31	577.4	2307.33
909.36	577.35	2328.83
909.41	577.3	2350.33
909.46	577.25	2328.5
909.51	577.2	2306.67
909.56	577.15	2313.83
909.61	577.1	2321
909.66	577.05	2338.17
909.71	577	2355.33
909.76	576.95	2364.5
909.81	576.9	2373.67
909.86	576.85	2382.67
909.91	576.8	2391.67
909.96	576.75	2378.5
910.01	576.7	2365.33
910.06	576.65	2380.5
910.11	576.6	2395.67
910.16	576.55	2390.5
910.21	576.5	2385.33
910.26	576.45	2406.83
910.31	576.4	2428.33
910.36	576.35	2452
910.41	576.3	2475.67
910.46	576.25	2462.17
910.51	576.2	2448.67
910.56	576.15	2445.83
910.61	576.1	2443
910.66	576.05	2463
910.71	576	2483
910.76	575.95	2481.67
910.81	575.9	2480.33
910.86	575.85	2485.5
910.91	575.8	2490.67
910.96	575.75	2501
911.01	575.7	2511.33
911.06	575.65	2528.17
911.11	575.6	2545
911.16	575.55	2558
911.21	575.5	2571
911.26	575.45	2594
911.31	575.4	2617
911.36	575.35	2591.83
911.41	575.3	2566.67
911.46	575.25	2544.17
911.51	575.2	2521.67
911.56	575.15	2550.5
911.61	575.1	2579.33
911.66	575.05	2559
911.71	575	2538.67
911.76	574.95	2559.83
911.81	574.9	2581
911.86	574.85	2602
911.91	574.8	2623
911.96	574.75	2634.17
912.01	574.7	2645.33
912.06	574.65	2648.33
912.11	574.6	2651.33
912.16	574.55	2676.83
912.21	574.5	2702.33
912.26	574.45	2677.17
912.31	574.4	2652
912.36	574.35	2667.5
912.41	574.3	2683
912.46	574.25	2693.5
912.51	574.2	2704
912.56	574.15	2699
912.61	574.1	2694
912.66	574.05	2677
912.71	574	2660
912.76	573.95	2705.83
912.81	573.9	2751.67
912.86	573.85	2727.33
912.91	573.8	2703
912.96	573.75	2718.83
913.01	573.7	2734.67
913.06	573.65	2729.17
913.11	573.6	2723.67
913.16	573.55	2728.33
913.21	573.5	2733
913.26	573.45	2724.67
913.31	573.4	2716.33
913.36	573.35	2715
913.41	573.3	2713.67
913.46	573.25	2715.83
913.51	573.2	2718
913.56	573.15	2733
913.61	573.1	2748
913.66	573.05	2725
913.71	573	2702
913.76	572.95	2712
913.81	572.9	2722
913.86	572.85	2746.17
913.91	572.8	2770.33
913.96	572.75	2746.17
914.01	572.7	2722
914.06	572.65	2729.17
914.11	572.6	2736.33
914.16	572.55	2741.33
914.21	572.5	2746.33
914.26	572.45	2777.33
914.31	572.4	2808.33
914.36	572.35	2816.5
914.41	572.3	2824.67
914.46	572.25	2824.5
914.51	572.2	2824.33
914.56	572.15	2840.5
914.61	572.1	2856.67
914.66	572.05	2853
914.71	572	2849.33
914.76	571.95	2845.17
914.81	571.9	2841
914.86	571.85	2860.67
914.91	571.8	2880.33
914.96	571.75	2906.33
915.01	571.7	2932.33
915.06	571.65	2981.5
915.11	571.6	3030.67
915.16	571.55	3045.5
915.21	571.5	3060.33
915.26	571.45	3116
915.31	571.4	3171.67
915.36	571.35	3207.67
915.41	571.3	3243.67
915.46	571.25	3272.67
915.51	571.2	3301.67
915.56	571.15	3374.33
915.61	571.1	3447
915.66	571.05	3464.33
915.71	571	3481.67
915.76	570.95	3524.67
