C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
Cu2O Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	18
KE_Cu2O Cu LMM	BE_Cu2O Cu LMM	CPS_Cu2O Cu LMM	Background_Cu2O Cu LMM
903.75	582.96	3488.78	3488.78
903.85	582.86	3515.5	3515.5
903.95	582.76	3500.11	3500.11
904.05	582.66	3505.67	3505.67
904.15	582.56	3495.06	3495.06
904.25	582.46	3490.83	3490.83
904.35	582.36	3478.39	3478.39
904.45	582.26	3487.44	3487.44
904.55	582.16	3480.39	3480.39
904.65	582.06	3501.22	3501.22
904.75	581.96	3483.22	3483.22
904.85	581.86	3473.44	3473.44
904.95	581.76	3484.89	3484.89
905.05	581.66	3487.56	3487.56
905.15	581.56	3498.28	3498.28
905.25	581.46	3472.17	3472.17
905.35	581.36	3459.72	3459.72
905.45	581.26	3457.67	3457.67
905.55	581.16	3451.06	3451.06
905.65	581.06	3462.5	3462.5
905.75	580.96	3465.61	3465.61
905.85	580.86	3482.28	3482.28
905.95	580.76	3457.61	3457.61
906.05	580.66	3467.44	3467.44
906.15	580.56	3457.78	3457.78
906.25	580.46	3466.94	3466.94
906.35	580.36	3458.67	3458.67
906.45	580.26	3466.22	3466.22
906.55	580.16	3486.17	3486.17
906.65	580.06	3502.94	3502.94
906.75	579.96	3495.28	3495.28
906.85	579.86	3467.06	3467.06
906.95	579.76	3489.22	3489.22
907.05	579.66	3474.06	3474.06
907.15	579.56	3486	3486
907.25	579.46	3490.56	3490.56
907.35	579.36	3486	3486
907.45	579.26	3468.11	3468.11
907.55	579.16	3487	3487
907.65	579.06	3485.5	3485.5
907.75	578.96	3460.72	3460.72
907.85	578.86	3495.67	3495.67
907.95	578.76	3477.28	3477.28
908.05	578.66	3478.11	3478.11
908.15	578.56	3483.83	3483.83
908.25	578.46	3474.56	3474.56
908.35	578.36	3492	3492
908.45	578.26	3494.28	3494.28
908.55	578.16	3486.33	3486.33
908.65	578.06	3491.83	3491.83
908.75	577.96	3494.5	3494.5
908.85	577.86	3478.56	3478.56
908.95	577.76	3471.11	3471.11
909.05	577.66	3489	3489
909.15	577.56	3506.39	3506.39
909.25	577.46	3522.78	3522.78
909.35	577.36	3519.44	3519.44
909.45	577.26	3539.5	3539.5
909.55	577.16	3523.78	3523.78
909.65	577.06	3553.61	3553.61
909.75	576.96	3539.5	3539.5
909.85	576.86	3551.83	3551.83
909.95	576.76	3581.17	3581.17
910.05	576.66	3584.72	3584.72
910.15	576.56	3590.61	3590.61
910.25	576.46	3610.56	3610.56
910.35	576.36	3612.33	3612.33
910.45	576.26	3618.44	3618.44
910.55	576.16	3625.06	3625.06
910.65	576.06	3637.33	3637.33
910.75	575.96	3659.56	3659.56
910.85	575.86	3686.22	3686.22
910.95	575.76	3695.94	3695.94
911.05	575.66	3685.39	3685.39
911.15	575.56	3713.83	3713.83
911.25	575.46	3723.72	3723.72
911.35	575.36	3723.44	3723.44
911.45	575.26	3719.61	3719.61
911.55	575.16	3747.17	3747.17
911.65	575.06	3739.06	3739.06
911.75	574.96	3742.39	3742.39
911.85	574.86	3769.44	3769.44
911.95	574.76	3792.61	3792.61
912.05	574.66	3796.83	3796.83
912.15	574.56	3809.39	3809.39
912.25	574.46	3811.61	3811.61
912.35	574.36	3841.06	3841.06
912.45	574.26	3835.06	3835.06
912.55	574.16	3850.61	3850.61
912.65	574.06	3861.44	3861.44
912.75	573.96	3884.44	3884.44
912.85	573.86	3879.28	3879.28
912.95	573.76	3886.28	3886.28
913.05	573.66	3866.72	3866.72
913.15	573.56	3880.89	3880.89
913.25	573.46	3886.61	3886.61
913.35	573.36	3854.94	3854.94
913.45	573.26	3843.44	3843.44
913.55	573.16	3859.94	3859.94
913.65	573.06	3871.61	3871.61
913.75	572.96	3860.94	3860.94
913.85	572.86	3877.22	3877.22
913.95	572.76	3887.78	3887.78
914.05	572.66	3867.72	3867.72
914.15	572.56	3864	3864
914.25	572.46	3862.44	3862.44
914.35	572.36	3880.89	3880.89
914.45	572.26	3877.06	3877.06
914.55	572.16	3891.61	3891.61
914.65	572.06	3885.89	3885.89
914.75	571.96	3916.11	3916.11
914.85	571.86	3903.56	3903.56
914.95	571.76	3931.06	3931.06
915.05	571.66	3948.44	3948.44
915.15	571.56	3975.56	3975.56
915.25	571.46	4022.67	4022.67
915.35	571.36	4089	4089
915.45	571.26	4123.11	4123.11
915.55	571.16	4197.67	4197.67
915.65	571.06	4292.39	4292.39
915.75	570.96	4396.06	4396.06
915.85	570.86	4512.06	4512.06
915.95	570.76	4650.67	4650.67
916.05	570.66	4795	4795
916.15	570.56	4916.56	4916.56
916.25	570.46	5098.78	5098.78
916.35	570.36	5289.61	5289.61
916.45	570.26	5438.22	5438.22
916.55	570.16	5572.33	5572.33
916.65	570.06	5675.5	5675.5
916.75	569.96	5746.39	5746.39
916.85	569.86	5780.61	5780.61
916.95	569.76	5776	5776
917.05	569.66	5691.11	5691.11
917.15	569.56	5589.39	5589.39
917.25	569.46	5479.61	5479.61
917.35	569.36	5355.61	5355.61
917.45	569.26	5245.94	5245.94
917.55	569.16	5115.44	5115.44
917.65	569.06	4985.11	4985.11
917.75	568.96	4877.22	4877.22
917.85	568.86	4796.11	4796.11
917.95	568.76	4681.89	4681.89
918.05	568.66	4574.5	4574.5
918.15	568.56	4431.22	4431.22
918.25	568.46	4336.11	4336.11
918.35	568.36	4212.33	4212.33
918.45	568.26	4134.39	4134.39
918.55	568.16	4037.78	4037.78
918.65	568.06	3956.28	3956.28
918.75	567.96	3888	3888
918.85	567.86	3818.72	3818.72
918.95	567.76	3776.06	3776.06
919.05	567.66	3716.22	3716.22
919.15	567.56	3672.78	3672.78
919.25	567.46	3615.67	3615.67
