C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
Cu(OH)2 Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	1.2
KE_Cu(OH)2 Cu LMM	BE_Cu(OH)2 Cu LMM	CPS_Cu(OH)2 Cu LMM	Background_Cu(OH)2 Cu LMM
903.9	582.81	2980.83	2980.83
904	582.71	2960	2960
904.1	582.61	2865.83	2865.83
904.2	582.51	2902.5	2902.5
904.3	582.41	2950	2950
904.4	582.31	2915.83	2915.83
904.5	582.21	2983.33	2983.33
904.6	582.11	2994.17	2994.17
904.7	582.01	2957.5	2957.5
904.8	581.91	2949.17	2949.17
904.9	581.81	2949.17	2949.17
905	581.71	2970.83	2970.83
905.1	581.61	2942.5	2942.5
905.2	581.51	2932.5	2932.5
905.3	581.41	2906.67	2906.67
905.4	581.31	2999.17	2999.17
905.5	581.21	3002.5	3002.5
905.6	581.11	2965.83	2965.83
905.7	581.01	2970.83	2970.83
905.8	580.91	2947.5	2947.5
905.9	580.81	2962.5	2962.5
906	580.71	2953.33	2953.33
906.1	580.61	3021.67	3021.67
906.2	580.51	3030	3030
906.3	580.41	2966.67	2966.67
906.4	580.31	3003.33	3003.33
906.5	580.21	2956.67	2956.67
906.6	580.11	2947.5	2947.5
906.7	580.01	3023.33	3023.33
906.8	579.91	3065	3065
906.9	579.81	3019.17	3019.17
907	579.71	3079.17	3079.17
907.1	579.61	3067.5	3067.5
907.2	579.51	2990	2990
907.3	579.41	3036.67	3036.67
907.4	579.31	3052.5	3052.5
907.5	579.21	3089.17	3089.17
907.6	579.11	3060	3060
907.7	579.01	3108.33	3108.33
907.8	578.91	3113.33	3113.33
907.9	578.81	3096.67	3096.67
908	578.71	3086.67	3086.67
908.1	578.61	3142.5	3142.5
908.2	578.51	3088.33	3088.33
908.3	578.41	3182.5	3182.5
908.4	578.31	3106.67	3106.67
908.5	578.21	3195	3195
908.6	578.11	3230.83	3230.83
908.7	578.01	3215.83	3215.83
908.8	577.91	3244.17	3244.17
908.9	577.81	3287.5	3287.5
909	577.71	3236.67	3236.67
909.1	577.61	3320	3320
909.2	577.51	3300	3300
909.3	577.41	3268.33	3268.33
909.4	577.31	3227.5	3227.5
909.5	577.21	3324.17	3324.17
909.6	577.11	3275	3275
909.7	577.01	3278.33	3278.33
909.8	576.91	3350.83	3350.83
909.9	576.81	3355.83	3355.83
910	576.71	3405.83	3405.83
910.1	576.61	3336.67	3336.67
910.2	576.51	3415.83	3415.83
910.3	576.41	3439.17	3439.17
910.4	576.31	3422.5	3422.5
910.5	576.21	3385.83	3385.83
910.6	576.11	3419.17	3419.17
910.7	576.01	3461.67	3461.67
910.8	575.91	3478.33	3478.33
910.9	575.81	3463.33	3463.33
911	575.71	3491.67	3491.67
911.1	575.61	3548.33	3548.33
911.2	575.51	3473.33	3473.33
911.3	575.41	3452.5	3452.5
911.4	575.31	3538.33	3538.33
911.5	575.21	3525	3525
911.6	575.11	3555	3555
911.7	575.01	3505	3505
911.8	574.91	3527.5	3527.5
911.9	574.81	3543.33	3543.33
912	574.71	3488.33	3488.33
912.1	574.61	3482.5	3482.5
912.2	574.51	3545.83	3545.83
912.3	574.41	3568.33	3568.33
912.4	574.31	3516.67	3516.67
912.5	574.21	3496.67	3496.67
912.6	574.11	3540	3540
912.7	574.01	3605	3605
912.8	573.91	3571.67	3571.67
912.9	573.81	3626.67	3626.67
913	573.71	3590.83	3590.83
913.1	573.61	3614.17	3614.17
913.2	573.51	3569.17	3569.17
913.3	573.41	3681.67	3681.67
913.4	573.31	3744.17	3744.17
913.5	573.21	3644.17	3644.17
913.6	573.11	3685	3685
913.7	573.01	3731.67	3731.67
913.8	572.91	3683.33	3683.33
913.9	572.81	3800.83	3800.83
914	572.71	3779.17	3779.17
914.1	572.61	3775	3775
914.2	572.51	3885.83	3885.83
914.3	572.41	3948.33	3948.33
914.4	572.31	3930	3930
914.5	572.21	3875	3875
914.6	572.11	3955	3955
914.7	572.01	4082.5	4082.5
914.8	571.91	4051.67	4051.67
914.9	571.81	4058.33	4058.33
915	571.71	4050	4050
915.1	571.61	4091.67	4091.67
915.2	571.51	4256.67	4256.67
915.3	571.41	4185.83	4185.83
915.4	571.31	4261.67	4261.67
915.5	571.21	4298.33	4298.33
915.6	571.11	4241.67	4241.67
915.7	571.01	4320	4320
915.8	570.91	4266.67	4266.67
915.9	570.81	4364.17	4364.17
916	570.71	4367.5	4367.5
916.1	570.61	4496.67	4496.67
916.2	570.51	4448.33	4448.33
916.3	570.41	4503.33	4503.33
916.4	570.31	4473.33	4473.33
916.5	570.21	4511.67	4511.67
916.6	570.11	4390.83	4390.83
916.7	570.01	4372.5	4372.5
916.8	569.91	4382.5	4382.5
916.9	569.81	4402.5	4402.5
917	569.71	4353.33	4353.33
917.1	569.61	4166.67	4166.67
917.2	569.51	4263.33	4263.33
917.3	569.41	4170.83	4170.83
917.4	569.31	4125	4125
917.5	569.21	4017.5	4017.5
917.6	569.11	3970.83	3970.83
917.7	569.01	3921.67	3921.67
917.8	568.91	3824.17	3824.17
917.9	568.81	3784.17	3784.17
918	568.71	3637.5	3637.5
918.1	568.61	3645	3645
918.2	568.51	3611.67	3611.67
918.3	568.41	3546.67	3546.67
918.4	568.31	3480.83	3480.83
918.5	568.21	3477.5	3477.5
918.6	568.11	3369.17	3369.17
918.7	568.01	3315	3315
918.8	567.91	3300	3300
918.9	567.81	3223.33	3223.33
919	567.71	3240.83	3240.83
919.1	567.61	3152.5	3152.5
919.2	567.51	3115.83	3115.83
919.3	567.41	3088.33	3088.33
919.4	567.31	3084.17	3084.17
919.5	567.21	3040.83	3040.83
919.6	567.11	2980.83	2980.83
919.7	567.01	3014.17	3014.17
919.8	566.91	2967.5	2967.5
919.9	566.81	2885	2885
920	566.71	2882.5	2882.5
920.1	566.61	2823.33	2823.33
920.2	566.51	2784.17	2784.17
920.3	566.41	2687.5	2687.5
920.4	566.31	2781.67	2781.67
920.5	566.21	2664.17	2664.17
920.6	566.11	2652.5	2652.5
920.7	566.01	2570	2570
920.8	565.91	2585.83	2585.83
920.9	565.81	2589.17	2589.17
921	565.71	2571.67	2571.67
921.1	565.61	2586.67	2586.67
921.2	565.51	2567.5	2567.5
921.3	565.41	2467.5	2467.5
921.4	565.31	2472.5	2472.5
921.5	565.21	2485.83	2485.83
921.6	565.11	2510.83	2510.83
921.7	565.01	2448.33	2448.33
921.8	564.91	2422.5	2422.5
921.9	564.81	2430.83	2430.83
922	564.71	2332.5	2332.5
922.1	564.61	2356.67	2356.67
922.2	564.51	2302.5	2302.5
922.3	564.41	2403.33	2403.33
922.4	564.31	2349.17	2349.17
922.5	564.21	2306.67	2306.67
922.6	564.11	2309.17	2309.17
922.7	564.01	2311.67	2311.67
922.8	563.91	2286.67	2286.67
922.9	563.81	2266.67	2266.67
923	563.71	2280.83	2280.83
923.1	563.61	2260	2260
923.2	563.51	2211.67	2211.67
923.3	563.41	2242.5	2242.5
923.4	563.31	2247.5	2247.5
923.5	563.21	2224.17	2224.17
923.6	563.11	2212.5	2212.5
923.7	563.01	2269.17	2269.17
923.8	562.91	2216.67	2216.67
923.9	562.81	2135	2135
