C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
CuO Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	7.5
KE_CuO Cu LMM	BE_CuO Cu LMM	CPS_CuO Cu LMM	Background_CuO Cu LMM
904.18	582.53	2230.13	2230.13
904.28	582.43	2224.4	2224.4
904.38	582.33	2197.6	2197.6
904.48	582.23	2234.13	2234.13
904.58	582.13	2211.47	2211.47
904.68	582.03	2232.93	2232.93
904.78	581.93	2195.47	2195.47
904.88	581.83	2223.33	2223.33
904.98	581.73	2223.6	2223.6
905.08	581.63	2267.2	2267.2
905.18	581.53	2262.53	2262.53
905.28	581.43	2251.2	2251.2
905.38	581.33	2268.93	2268.93
905.48	581.23	2223.47	2223.47
905.58	581.13	2274.4	2274.4
905.68	581.03	2257.2	2257.2
905.78	580.93	2256.4	2256.4
905.88	580.83	2242.53	2242.53
905.98	580.73	2278.53	2278.53
906.08	580.63	2258.53	2258.53
906.18	580.53	2246.53	2246.53
906.28	580.43	2262.4	2262.4
906.38	580.33	2281.2	2281.2
906.48	580.23	2252.67	2252.67
906.58	580.13	2270.8	2270.8
906.68	580.03	2260	2260
906.78	579.93	2294.8	2294.8
906.88	579.83	2322.8	2322.8
906.98	579.73	2334.27	2334.27
907.08	579.63	2324.53	2324.53
907.18	579.53	2316	2316
907.28	579.43	2293.2	2293.2
907.38	579.33	2336.8	2336.8
907.48	579.23	2325.47	2325.47
907.58	579.13	2327.87	2327.87
907.68	579.03	2336.67	2336.67
907.78	578.93	2325.6	2325.6
907.88	578.83	2344.8	2344.8
907.98	578.73	2340.13	2340.13
908.08	578.63	2352.67	2352.67
908.18	578.53	2355.07	2355.07
908.28	578.43	2339.73	2339.73
908.38	578.33	2354.67	2354.67
908.48	578.23	2352	2352
908.58	578.13	2351.73	2351.73
908.68	578.03	2375.2	2375.2
908.78	577.93	2372.53	2372.53
908.88	577.83	2400.8	2400.8
908.98	577.73	2403.87	2403.87
909.08	577.63	2402.93	2402.93
909.18	577.53	2383.6	2383.6
909.28	577.43	2421.73	2421.73
909.38	577.33	2392.8	2392.8
909.48	577.23	2412.67	2412.67
909.58	577.13	2452.4	2452.4
909.68	577.03	2453.73	2453.73
909.78	576.93	2476.8	2476.8
909.88	576.83	2475.87	2475.87
909.98	576.73	2510.53	2510.53
910.08	576.63	2529.73	2529.73
910.18	576.53	2522.53	2522.53
910.28	576.43	2548.67	2548.67
910.38	576.33	2557.07	2557.07
910.48	576.23	2580.93	2580.93
910.58	576.13	2585.6	2585.6
910.68	576.03	2633.2	2633.2
910.78	575.93	2634.4	2634.4
910.88	575.83	2656.4	2656.4
910.98	575.73	2683.33	2683.33
911.08	575.63	2671.07	2671.07
911.18	575.53	2706.8	2706.8
911.28	575.43	2722.4	2722.4
911.38	575.33	2739.07	2739.07
911.48	575.23	2764	2764
911.58	575.13	2777.87	2777.87
911.68	575.03	2820.8	2820.8
911.78	574.93	2809.6	2809.6
911.88	574.83	2838	2838
911.98	574.73	2823.87	2823.87
912.08	574.63	2850.93	2850.93
912.18	574.53	2838.13	2838.13
912.28	574.43	2850.93	2850.93
912.38	574.33	2859.6	2859.6
912.48	574.23	2847.07	2847.07
912.58	574.13	2838.27	2838.27
912.68	574.03	2851.6	2851.6
912.78	573.93	2859.33	2859.33
912.88	573.83	2874.67	2874.67
912.98	573.73	2892.27	2892.27
913.08	573.63	2926.13	2926.13
913.18	573.53	2933.6	2933.6
913.28	573.43	2902.4	2902.4
913.38	573.33	2919.47	2919.47
913.48	573.23	2983.07	2983.07
913.58	573.13	2978.4	2978.4
913.68	573.03	2958.67	2958.67
913.78	572.93	2943.2	2943.2
913.88	572.83	3009.2	3009.2
913.98	572.73	2941.47	2941.47
914.08	572.63	2982.13	2982.13
914.18	572.53	2986.53	2986.53
914.28	572.43	2966.67	2966.67
914.38	572.33	2986	2986
914.48	572.23	2931.07	2931.07
914.58	572.13	2907.87	2907.87
914.68	572.03	2901.87	2901.87
914.78	571.93	2897.07	2897.07
914.88	571.83	2901.47	2901.47
914.98	571.73	2870.67	2870.67
915.08	571.63	2859.73	2859.73
915.18	571.53	2848.4	2848.4
915.28	571.43	2862.93	2862.93
915.38	571.33	2838.93	2838.93
915.48	571.23	2845.07	2845.07
915.58	571.13	2842.93	2842.93
915.68	571.03	2873.73	2873.73
915.78	570.93	2872.93	2872.93
