C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
Cu Metal Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	1.5
KE_Cu Metal Cu LMM	BE_Cu Metal Cu LMM	CPS_Cu Metal Cu LMM	Background_Cu Metal Cu LMM
906.71	580	13431.3	13431.3
906.76	579.95	13404	13404
906.81	579.9	13612	13612
906.86	579.85	13645.3	13645.3
906.91	579.8	13689.3	13689.3
906.96	579.75	13703.3	13703.3
907.01	579.7	13740	13740
907.06	579.65	13702	13702
907.11	579.6	13836.7	13836.7
907.16	579.55	13762	13762
907.21	579.5	13661.3	13661.3
907.26	579.45	13794.7	13794.7
907.31	579.4	14016	14016
907.36	579.35	14000.7	14000.7
907.41	579.3	14107.3	14107.3
907.46	579.25	13858	13858
907.51	579.2	14046.7	14046.7
907.56	579.15	14024.7	14024.7
907.61	579.1	14097.3	14097.3
907.66	579.05	14097.3	14097.3
907.71	579	14078.7	14078.7
907.76	578.95	13910.7	13910.7
907.81	578.9	14043.3	14043.3
907.86	578.85	14150.7	14150.7
907.91	578.8	14042	14042
907.96	578.75	14038	14038
908.01	578.7	14009.3	14009.3
908.06	578.65	14212	14212
908.11	578.6	14080	14080
908.16	578.55	14154	14154
908.21	578.5	14083.3	14083.3
908.26	578.45	14108.7	14108.7
908.31	578.4	14165.3	14165.3
908.36	578.35	14228	14228
908.41	578.3	14189.3	14189.3
908.46	578.25	14158	14158
908.51	578.2	14193.3	14193.3
908.56	578.15	14256.7	14256.7
908.61	578.1	14326	14326
908.66	578.05	14209.3	14209.3
908.71	578	14178.7	14178.7
908.76	577.95	14130	14130
908.81	577.9	14236.7	14236.7
908.86	577.85	14430.7	14430.7
908.91	577.8	14558.7	14558.7
908.96	577.75	14418	14418
909.01	577.7	14488	14488
909.06	577.65	14388.7	14388.7
909.11	577.6	14514.7	14514.7
909.16	577.55	14559.3	14559.3
909.21	577.5	14598	14598
909.26	577.45	14506	14506
909.31	577.4	14533.3	14533.3
909.36	577.35	14562.7	14562.7
909.41	577.3	14747.3	14747.3
909.46	577.25	14752	14752
909.51	577.2	14671.3	14671.3
909.56	577.15	14817.3	14817.3
909.61	577.1	14734.7	14734.7
909.66	577.05	14777.3	14777.3
909.71	577	14762	14762
909.76	576.95	14768	14768
909.81	576.9	14559.3	14559.3
909.86	576.85	14684	14684
909.91	576.8	14838.7	14838.7
909.96	576.75	14876	14876
910.01	576.7	14844.7	14844.7
910.06	576.65	14890	14890
910.11	576.6	14916.7	14916.7
910.16	576.55	14713.3	14713.3
910.21	576.5	14867.3	14867.3
910.26	576.45	14824	14824
910.31	576.4	14914	14914
910.36	576.35	14965.3	14965.3
910.41	576.3	15124.7	15124.7
910.46	576.25	15138.7	15138.7
910.51	576.2	15222	15222
910.56	576.15	15376	15376
910.61	576.1	15329.3	15329.3
910.66	576.05	15325.3	15325.3
910.71	576	15358	15358
